# DEFERRED.txt — passed-only lemma ledger
# Generated 2026-08-06 from the (B4) report of scripts/check-wiring.py.
# Maintained by the ratchet in `make wiring-gate` (see scripts/check-wiring.py).
#
# WHAT THIS FILE IS.  The wiring law tracks NAMES, not OBLIGATIONS INSIDE
# TYPES.  A proven lemma whose only consumers are assembly argument positions
# (i.e. it is PASSED into a postulate but never APPLIED) reads as fully wired
# — no orphan, no gate failure — while its own premises sit permanently unpaid
# as long as the parent postulate stands.  These 55 lemmas are in that state.
# They are LOAD-BEARING and PROVEN; this is not a deletion list.
# Passed-only is expected and normal while the parent is still a postulate.
# The ratchet exists to make deferral an explicit, reviewed act, not a silent
# side effect of writing an assembly.
#
# HOW THE RATCHET WORKS.
# `make wiring-gate` compares the measured passed-only set against this file:
#   - a lemma measured but NOT in this file = NEW DEFERRAL — fails the gate
#     until deliberately added here;
#   - a lemma in this file but NOT measured = its premises are now discharged
#     (or the lemma was deleted) — the ledger line must be removed.  This is
#     the win case; the gate message says so.
#
# TWO CAVEATS INHERITED FROM (B4) — the numbers in this file are never exact.
#
#   UPPER BOUND.  The ≤SLOTS column counts every depth-0 `→` in the
#   signature, including the binder arrow of a leading `∀ … →` telescope.
#   It sizes the deferred obligation set; it is not a count of distinct proof
#   obligations.
#
#   TEXTUAL ANALYSIS.  A lemma used only inside a `where` block can be
#   misreported as passed-only by the textual checker (it will not appear in
#   the boundary-matched consumer set even though it has a real consumer in the
#   block body).  If a line here turns out to be a false positive, remove it
#   and note in the commit why it was wrong.
#
# FORMAT: one entry per non-comment line.
# LEMMA | DEFERRED-BY | ≤SLOTS | REASON
# (the ratchet reads only field 1; the rest is informational)
#
cascade-delivN | dry-tick-core | ≤1 | REASON: dry-tick-core must be proven
cascadeGo-cons-N | dry-tick-core | ≤2 | REASON: dry-tick-core must be proven
cascadeGo-skip-N | dry-tick-core | ≤2 | REASON: dry-tick-core must be proven
cascadeLatch-deliv | dry-tick-core | ≤1 | REASON: dry-tick-core must be proven
chainStep-caps | dry-tick-core | ≤11 | REASON: dry-tick-core must be proven
connect-edge | subscribeE-wet-core | ≤6 | REASON: subscribeE-wet-core must be proven
enterInstant-held | mid-step-core | ≤5 | REASON: mid-step-core must be proven
enterInstant-idle | mid-step-core | ≤3 | REASON: mid-step-core must be proven
foldPath-root-out | mid-step-core | ≤3 | REASON: mid-step-core must be proven
hop-edge | subscribeE-wet-core | ≤5 | REASON: subscribeE-wet-core must be proven; its premise sizeᵛ (obs u) o ≤ Ŝ is the worked example that motivated this ledger
hop-step-gives | subscribeE-wet-core | ≤2 | REASON: subscribeE-wet-core must be proven
hop-step-needs | subscribeE-wet-core | ≤2 | REASON: subscribeE-wet-core must be proven
initReg-wf | subscribeE-input-wf-core | ≤4 | REASON: subscribeE-input-wf-core must be proven
mid-enters | mid-step-core | ≤5 | REASON: mid-step-core must be proven
mid-seed | mid-step-core | ≤3 | REASON: mid-step-core must be proven
mu-edge | subscribeE-wet-core | ≤1 | REASON: subscribeE-wet-core must be proven
obs-slot-shared | subscribeE-wet-core | ≤2 | REASON: subscribeE-wet-core must be proven
paidUp-held | mid-step-core | ≤3 | REASON: mid-step-core must be proven
sharedConnect-unconn | subscribeE-wet-core | ≤3 | REASON: subscribeE-wet-core must be proven
subscribeE-take-wf | subscribeE-takeᵉ-wf-core | ≤5 | REASON: subscribeE-takeᵉ-wf-core must be proven
subscribeE-walk | subscribeE-wet-core | ≤14 | REASON: subscribeE-wet-core must be proven
unconn-keeps | subscribeE-wet-core | ≤2 | REASON: subscribeE-wet-core must be proven
dry-hop | dry-tick-core | ≤3 | REASON: hop-edge's size-premise discharger; applied when the walk grind reaches hop-edge's call sites
cascadeGo-burst-dry | dry-tick-core | ≤14 | REASON: consumed by the cascade clause grind once dry-tick-core is proven; replaces chainStep-dry + foldPath-dry (2026-08-10) — a REAL definition over the Burst-Walk whose frame face is now itself an ASSEMBLY (Burst-Walk § 5b), leaving four wet leaves open (wet-scan/wet-take/wet-inner/wet-thru); its 12 hypotheses are all caller-owned (caps-tick chain, INV? projections, cascade-depth-capsH), and the extra slot is the siC face, supplied at the dry-tick call site by the PROVEN subscribeInner-caps
subscribeInner-dry | dry-tick-core | ≤6 | REASON: the key hop-edge enabler at thruConsume sites; consumed by the walk grind once dry-tick-core is proven; ≤6 since pathOccs? premise added 2026-08-06
